noteId,noteAuthorParticipantId_x,createdAtMillis_x,tweetId,classification,summary,timestampMillisOfFirstNonNMRStatus,firstNonNMRStatus,found_keywords
1772269139307970925,126716F10FD08310A758A1643A933663B1977B85AAB6D34992A4AC40B0EA256E,1711376864635,1772013088331452737,NOT_MISLEADING,"NNN. Regardless of your OPINION, this is just a statement and not misleading. Stop using CN as a comment section. ",nan,nan,[]
1824169735111708729,A91872FB948D06A589D799F85DB73ED0A470EA82F1FFCD62C1DF84756DBDC300,1723750930943,1823897081171599431,MISINFORMED_OR_POTENTIALLY_MISLEADING,Taiga was indeed targeted by harassers and got falsely banned for Sexual Content.    There are many screenshots and even proof of people admitting to mass reporting Taiga.    Youtube never banned Taiga for evading a ban because the second channel was there prior to bans.    https://x.com/SaberToothTora/status/1824163360864342491    https://x.com/NexusRebor69297/status/1821272912391029024    https://x.com/NexusRebor69297/status/1821310168916758802,1723764058110.0,CURRENTLY_RATED_HELPFUL,[]
1800116355699540352,60806AB5446999A220E537B2A36CE3C4670564D81422E6380863B638FBFF0BAB,1718016158402,1800115622136971386,MISINFORMED_OR_POTENTIALLY_MISLEADING,Andrew Tate's real account is @Cobratate.    https://x.com/cobratate  These scams attempt to get you to visit the site and connect your wallet where they can then gain access to your account and steal your funds.  https://trezor.io/support/a/airdrop-scam-tokens,nan,nan,[]
1708785659974979820,17A7A22FF13EACF3908715E8EC1E181D5038AF035D5BF62F5549489A501C8DF6,1696241223697,1708756002714144889,MISINFORMED_OR_POTENTIALLY_MISLEADING,Chelsea are not in a relegation battle.They are currently 15th in the table with a game in hand  https://www.premierleague.com/tables  ,nan,nan,[]
1788458755908313107,E8D79FA5183C381B40C5C0D92BEE6B44A19EFA9CE8D5BFBA794BCFD6C5E9F15D,1715236770022,1788445416700387526,MISINFORMED_OR_POTENTIALLY_MISLEADING,This is an excerpt from a short story by Richard Ngo named &quot;∀&quot;    https://www.narrativeark.xyz/p/d2c,nan,nan,[]
1794655002616598910,F9DDA770486ED9ABE232B4FB9317B2DE61E511230D6504D18EA4EC0F9F8AECEF,1716714070358,1791920124188070106,MISINFORMED_OR_POTENTIALLY_MISLEADING,"Despite rumours unvetted males would be living in the camp it has been built to house Ukrainian families, for up to 3 months only.      https://kildare-nationalist.ie/2024/02/27/assurances-made-about-kildare-ukrainian-camp/    https://www.independent.ie/regionals/kildare/news/ukrainian-refugees-have-started-to-move-to-only-newly-opened-accommodation-site-in-kildare/a840070474.html",nan,nan,[]
1738928207536009720,BAF414A716B7652B1172B520F981F6A1EF02EE99BFC9A4B7AE46117E5DC0DB22,1703427767059,1738598278516650388,MISINFORMED_OR_POTENTIALLY_MISLEADING,"HIV is the cause of AIDS. The genome of both HIV-1 and HIV-2, with numerous subtypes, has been isolated and sequenced.  Eleni Papadopulos-Eleopulos is a member of The Perth Group, an HIV/AIDS denialist group.  https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4924471/  https://en.wikipedia.org/wiki/The_Perth_Group",nan,nan,[]
1831181583661084856,EB761961ADF3532CC06C44091B0FB1A5BDFA9F87C0FF19C83236E30A4E4BB059,1725422685911,1831070536157532502,NOT_MISLEADING,"Responsible Rock Swan is creating a strawman. @martyrmade does not contend that blockades had not been used before; he contends that they had not been used with the intent of creating mass deaths to civilian populations due to starvation.    Anyway, it's just an opinion.",1725451672220.0,CURRENTLY_RATED_NOT_HELPFUL,[]
1752008891288699171,7F4D353AA463E18B3872B498E5521F2BC7D3858B6A81AC1457A886370E438CCF,1706546445089,1751992444923650049,MISINFORMED_OR_POTENTIALLY_MISLEADING,Megan Thee Stallion has never worked with R. Kelly. Work That samples Juvenile's 'Rodeo'.      Rodeo samples the remix of R. Kelly's &quot;Bump n' Grind&quot;.     https://www.whosampled.com/sample/1900/Juvenile-Rodeo-R.-Kelly-Bump-N%27-Grind-(Old-School-Mix)/,nan,nan,[]
1685377229595754497,82533FAD1B0B81ED61195FD2378E667422195C89745DD47289AA683E5A0919EC,1690660218990,1684651400062537728,NOT_MISLEADING,obviously satire NNN,nan,nan,[]
1605385374993465346,5614EBA5386AA534D2E982EC84146821FEBF947084FA80A3819F5FB1A8EC41F6,1671588674670,1605289367630761994,MISINFORMED_OR_POTENTIALLY_MISLEADING,"Although the total number of casualties in the U. S. Civil War was over 620,000, these  numbers included both sides and all races. There certainly were not 600,000 &quot;white&quot; lives lost in order to &quot;free the slaves.&quot;    https://www.battlefields.org/learn/articles/civil-war-casualties#:~:text=Roughly%202%25%20of%20the%20population,high%20as%206%20million%20souls.",nan,nan,[]
1703689759053262905,43147E26944271986AB001D4D545EBB9E19C7DD37AA78CE91A2D08008811B243,1695026266242,1703589914837651650,MISINFORMED_OR_POTENTIALLY_MISLEADING,"This ad is from a dropshipper, selling a product for $19.99 that is available from AliExpress for $6.62    Suggesting note be added since replies to the post are disabled, no one can reply.    https://wyzor.co/products/skull-gauze?twclid=2-5ve7zev8zjbneeak2k660is7    https://www.aliexpress.com/i/3256804545496866.html",nan,nan,[]
